,Country,Year,Score,Low,High,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia,Ind 1,Ind 2,Ind 3,Ind 4,Ind 5,Ind 6,Ind 7,Ind 8,Ind 9,Ind 10,Ind 11,Ind 12,Ind 13,Ind 14,Ind 15,Ind 16,Ind 17,Ind 18,Ind 19,Ind 20,Ind 21,Ind 22,Ind 23,Ind 24,Ind 25,Ind 26,Ind 27,Ind 28,Ind 29,Ind 30,Ind 31,Ind 32,Ind 33
0,Afghanistan,2015,3.575,3.54416,3.60584,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,1.9521,71.5,,,,2.64374189312687,-10.28844725,88.7687273393836,33.98,,,,,6.924,56.69549,24.3563,37.0225695736427,16.44546401,19907111418.9938,1.45131465458005,2.94818036425211,,0.409391082824413,41.5,73.1,33736494.0,37.72088,44.32877,18.4234771693218,652860.0,7.58538233129798,55.1255265979591,,
1,Afghanistan,2016,3.36,3.288,3.432,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2.14558,84.1371383666992,,,,2.64374189312687,-10.87939183,86.5709321507136,33.214,,,,,6.747,43.30205,21.83389,,,19046357714.4928,2.2603142045464,4.95403313645523,,1.08793953115092,40.3,70.4,34656032.0,42.68464,,,652860.0,,47.6590554256105,,
2,Afghanistan,2017,3.79399991035461,3.71433840543032,3.87366141527891,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.0611578300595284,0.311870932579041,2.15080118179321,,,,,,,84.5872779704028,,,,,,,44.1906,22.25369,,,19543976895.4248,2.66529204636834,7.15570536499632,,0.748720444738609,39.2,67.9,35530081.0,38.66756,44.00995,,652860.0,,51.2368807956764,,
3,Albania,2015,4.959,4.908869999999999,5.00913,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,1.89894,100.0,95.59661,4.61846802464052,4.92356707507196,3.22728502181027,15.80204856,44.0166438612638,11.879,,,,,7.217,56.76693,21.58166,24.4461757489854,0.76512774,11386931489.7968,2.21999999999991,8.19454970239983,,4.99999999999999,5.9,9.4,2880703.0,13.50589,18.61557,38.6152104692153,28750.0,18.5157898553099,71.8010161004583,17.0799999237061,
4,Albania,2016,4.655,4.546,4.764,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,100.0,95.65855,3.19661056052152,3.361733691385,3.22728502181027,16.6463675,44.0015401014685,11.816,,,,,7.379,,25.36938,23.9117146844842,,11883682170.8236,3.35000000000005,7.45507035751882,,4.29999999999986,6.0,9.1,2876101.0,12.22137,18.19844,,28750.0,17.5571777277223,74.669259671744,,
5,Albania,2017,4.64400005340576,4.53553610041738,4.75246400639415,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.0398642159998417,0.201312944293022,1.49044156074524,,97.06175,,,,,44.0595057133346,,,,,,,60.21674,18.62398,23.8331513066639,,13038538300.2644,3.83554384465101,8.59412732164499,,13.455279855652,6.1,8.8,2873457.0,11.60265,17.94478,,28750.0,18.8602350719885,78.0814560759772,13.75,
6,Algeria,2015,5.605,5.554010000000001,5.65599,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2.43209,99.3367080688477,99.2671,-2.76044170117467,-4.60959309801964,4.4671956,36.80385887,52.7249187566745,23.9,,,,,4.773,,,,0.02604974,165979277276.907,3.76346695783126,37.4289678801955,,1.84288495687011,15.5,24.9,39871528.0,,23.83613,0.0589586840918149,2381740.0,,59.6951291204194,11.2061004638672,
7,Algeria,2016,6.355,6.227,6.483,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,3.40904,99.439567565918,99.23121,-4.13398193588279,-5.8681049935129,4.4671956,35.52823676,53.9078874261101,23.132,,,,,4.765,,,,,160129866569.935,3.29999999975597,36.634345612344,,6.02719147163479,15.2,24.5,40606052.0,,24.2355,,2381740.0,,55.8922435232785,10.2024002075195,
8,Algeria,2017,5.87200021743774,5.76571400120854,5.97828643366694,1.09186446666718,1.1462174654007,0.617584645748138,0.233335807919502,0.146096110343933,0.0694366469979286,2.56760382652283,,99.44293,,,,,55.0282166293324,,,,,,,,,,,167555280113.181,1.60000000052275,37.5361408087886,,0.0652300565231059,14.9,24.0,41318142.0,,24.22505,,2381740.0,,56.1403520848947,13.5699996948242,
9,Angola,2015,4.033,3.9854200000000004,4.08058,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,1.94939,42.0,,10.4848834385896,6.76162051144182,3.57,-0.451391478,97.5761986937093,42.321,,,,,8.683,,,20.818831842683,2.7696619,116193649124.475,0.94357561306073,30.8231673301691,,12.0243365280067,30.6,88.9,27859305.0,,50.02951,49.5682103295777,1246700.0,11.0020191366716,62.8885207849744,,
